site_id,latitude,longitude,avg_sales
9D5800215ACCD74411E2392EDBCD9F8D,"60,200422","32,660777",2665.47825174825
8AEF000C29AA063211DEA376995FB504,"59,57346","30,1687",2722.40195804196
8AEF000C29AA063211DEA370B206D4A5,"59,83457","30,37275",3484.5449528301833
B3C60025B3DEFD1411E1CA81C5B44D25,"59,41952","28,75891",3551.835734265734
B7BB00215ACCD74411E2CCFD9E35C4A2,"55,67462","37,43946",3672.454471831
9F8300237DF16DDC11E63705B5A1908A,"59,90389","31,08841",3804.4987762237724
8AEF000C29AA063211DE9E0DD8AB3EA1,"59,87498","29,80635",3950.7730633802785
A0C200215ACCD74411E17186EB1A3F1D,"59,08563","29,91716",4086.9234615384653
8AEF000C29AA063211DE9E0DE43F3DC9,"60,12956","30,12129",4137.514090909091
B3C60025B3DEFD1411E1CA8B9051F836,"59,7985","30,66636",4172.254895104898
A3B3D8D385ACDF0C11E2EB0468350E89,"54,73686","38,15596",4305.49258741258
88F3000C29AA063211DE993DA6B96A18,"60,11687","30,19082",4310.967377622367
A3B3D8D385ACDF0C11E2EA2B2F4AFDB9,"56,4035","36,64876",4456.890594405591
B70500215ACCD74411E2D4C48E9F5130,"55,90683","37,57469",4597.192676056395
A3B3D8D385ACDF0C11E2EB03DE2017C5,"54,73679","38,15841",4736.202027972035
A3B3D8D385ACDF0C11E2EAFE27B40C8D,"55,53242","37,76928",4883.7089788732155
B70500215ACCD74411E2D405643BAF08,"55,86041","37,34809",4959.485543859681
B7BB00215ACCD74411E2CD032EDA84AF,"55,61581","37,61429",5039.078850174285
B7BB00215ACCD74411E2CD04B71FF7BB,"55,67267","37,45778",5075.81311787073
B7BB00215ACCD74411E2CE7A117ADFCB,"55,77859","37,69736",5097.190473684232
A3B3D8D385ACDF0C11E2EAF9544D82B3,"55,80548","37,61931",5147.448581818186
8AEF000C29AA063211DE9E0DE43F3DB1,"59,909387","30,444633",5241.492763157917
A3B3D8D385ACDF0C11E2EAFA70DF524B,"55,83629","37,50363",5285.397851851926
B7BB00215ACCD74411E2CD04DD3EA0A1,"55,64713","37,59096",5294.659333333403
8AEF000C29AA063211DE9E0DEFB8F1B1,"59,824708","30,553322",5323.320874125863
A3B3D8D385ACDF0C11E2EB057A0980FB,"54,98649","37,31851",5333.739335664332
B7BB00215ACCD74411E2CCF7F6388016,"55,67117","37,44788",5444.683026819935
B5F8D8D385ACDF0C11E2DCD8E7BE0184,"55,1239","38,80822",5468.58531468535
A0C200215ACCD74411E17186EB1A3F19,"59,52247","29,96152",5481.801398601395
88F3000C29AA063211DE993DA6B96A1B,"60,10521","30,2487",5528.2911888111785
8AEF000C29AA063211DE9E0DE43F3DA1,"59,70317","30,35866",5605.716514084517
B7BB00215ACCD74411E2CD037BA946AA,"55,63478","37,54324",5683.846249999983
B01F00215ACCD74411E08CF5570BA4B8,"60,19257","30,08504",5686.200804195798
A3B3D8D385ACDF0C11E2EA36E12C4D6E,"56,37366","36,68177",5809.645489510539
A3B3D8D385ACDF0C11E2EAF99CF3969D,"55,86345","37,54241",5850.621461187242
88F3000C29AA063211DE993DA6B969F3,"59,98872","30,36805",5867.979195804202
B7BB00215ACCD74411E2CD15169D0015,"55,65863","37,72349",6019.538102766842
B70500215ACCD74411E2D7EC3FF3EDA5,"55,76746","37,40399",6020.125150214601
B70500215ACCD74411E2D4CC13F1F91E,"55,88554","37,67391",6023.3551916377
B7BB00215ACCD74411E2CCF9AB7BC503,"55,67781","37,48141",6039.754596491221
B7BB00215ACCD74411E2CCF7595897DF,"55,49931","37,57265",6040.8201408450805
A0C200215ACCD74411E183A0DEDA2CCC,"60,091596","30,496695",6044.83185314686
A3B3D8D385ACDF0C11E2E7CCBDF75646,"55,83365","38,34788",6047.378218181986
A3B3D8D385ACDF0C11E2E7CBF531B54C,"55,28626","37,12236",6139.5227727272495
B70500215ACCD74411E2D7EA0C3B28F3,"55,72421","37,38212",6160.393976378015
88F3000C29AA063211DE993DA6B96A1E,"59,90147","29,76854",6171.273776223777
B7BB00215ACCD74411E2D1CA6FD81513,"55,77466","37,55924",6174.22255244757
B7BB00215ACCD74411E2CE80214789B4,"55,79328","37,65383",6176.110108303322
8AEF000C29AA063211DE9E0DEFB8F1B5,"61,01613","30,14571",6206.655069930077
8AEF000C29AA063211DEA370B206D4B1,"59,82722","30,41842",6373.65342657343
80EB005056AE680411E6798CD2753860,"55,65236","37,65682",6381.257762237546
B7BB00215ACCD74411E2D1C93026F325,"55,84981","37,67408",6382.934626334545
8AEF000C29AA063211DE9E0DE43F3DB5,"60,00852","29,73712",6405.192771929825
B7BB00215ACCD74411E2D1C8CE4E3675,"55,86615","37,62631",6428.547282230024
B70500215ACCD74411E2D4BDD543ED59,"55,69504","37,66566",6431.185384615371
8AEF000C29AA063211DEA376995FB4FC,"60,01961","30,43382",6458.83304999997
B7BB00215ACCD74411E2CCE207F56ACC,"55,87437","37,46827",6467.173179104545
B70500215ACCD74411E2D4B5F1838C4D,"55,84924","37,40349",6491.575248226961
A3B3D8D385ACDF0C11E2DE35E6CB6E68,"55,67861","37,48446",6512.991333333407
A3B3D8D385ACDF0C11E2EAF9F7FE19BB,"55,87461","37,52811",6609.543761061978
B5F8D8D385ACDF0C11E2DCD7A6F487DE,"55,12238","38,80811",6631.087377622433
88F3000C29AA063211DE993DA6B96A0A,"59,75822","30,48113",6684.552807017575
A3B3D8D385ACDF0C11E30994ADD23083,"56,00454","37,83042",6691.173043478228
8AEF000C29AA063211DE9E0DD8AB3E81,"60,08133","29,95801",6728.016573426538
8AEF000C29AA063211DE9E0DD8AB3E99,"59,96158","30,47089",6738.706083916088
B7BB00215ACCD74411E2CD0480C7F9FA,"55,64467","37,56092",6755.096818181748
A4F6D8D385ACDF0C11E470C179BA4E79,"55,76263","38,94159",6783.555664335594
A0C200215ACCD74411E17186EB1A3F21,"59,87847","30,44641",6889.334125874118
